GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,PDPFactory,0,44,0,0,0,11,0,3,0,3
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,XACMLAuthorizationDelegate,104,130,14,6,18,34,11,8,3,6
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,FedoraResourceFinderModule,81,7,8,0,19,3,8,3,4,3
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,FedoraPolicyFinderModule,75,165,8,10,17,46,8,10,0,9
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,TripleAttributeFinderModule,83,190,4,12,17,41,4,9,0,5
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,SparqlResourceAttributeFinderModule,11,24,0,0,2,6,2,6,2,6
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,PolicyUtil,37,113,7,11,12,34,8,7,1,5
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,URIConstants,3,25,0,0,1,8,1,1,1,1
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,FedoraEvaluationCtxBuilder,64,222,12,8,8,43,8,11,0,9
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,XACMLWorkspaceInitializer,41,154,6,6,8,44,6,10,2,8
